lemma,es,nl,en,zh
one,-161.25675852968547,-192.73276255450776,-91.96942378736158,48.75522974934816
also,-137.2052292348145,-11.088113909840073,-170.11736332897073,9.234508988813566
still,-77.64734320472265,31.874612089312997,-60.51396080565002,-98.26661186534908
well,-44.6582731969783,21.809969808121387,-44.871402219951385,-132.36007003442006
people,-81.58535610208851,-66.2396388646848,-61.63836360525731,24.364892844670546
fun,-61.68932213221413,26.0103391551565,-39.36571778644614,-59.98363502967627
then,-88.42516234684138,11.232987478464683,-80.89033398012734,-25.420242957537056
le,23.561436209309903,-47.62420127996293,-52.60661567356143,-54.628783871395704
can,-51.45457824478445,6.3258569366650095,-11.636284559037195,-137.38070714456023
all,6.396313601871499,-59.47038247626161,-23.923544157017304,-105.95739265187235
but,-59.99395039889556,-6.557797560369098,-68.96111916655485,-87.46584284222445
get,-63.268477965996055,-19.171088517444492,19.87140856691889,-52.68758765468566
must,-31.97347911812563,19.643043314805364,-40.764995950663945,-42.48634538417872
good,-11.662771175271516,-6.988318139015921,-38.93357085750121,-143.10468264044275
beautiful,-39.56525860033437,19.82633312911074,-40.981344999480456,-31.74137539525711
become,-42.044573758785276,19.457632219182642,-26.801332897993326,-25.294947026902456
big,-43.522207053100274,-39.93451514642128,-12.588645686366183,18.66363725940825
many,-19.717905624378606,12.74671551927565,-33.45561053454601,-59.784779967701304
will,-76.41637916965416,-13.594690680372647,9.701005202113265,-31.08405847934133
about,-40.42401154096526,1.7485335393979968,-9.503196238166293,-92.60177589433275
like,-49.947507749117904,-53.83227938340532,7.079882828597534,-15.119248245888098
very,13.080440381885802,-43.90635012441865,-19.31189714110546,-35.39634459442535
say,-33.48045538397678,-59.284824803175844,-54.237525895449544,-3.7613611636066624
more,-8.36668246967713,-55.93034025902097,-71.31200052349092,-33.44867111501611
same,17.042509403377053,-28.984648026376142,-14.678696818109296,-38.50746231898894
don,-22.466831415005984,-25.56788841313763,18.859904924641683,-26.268357128270743
love,-20.575188262994313,-52.40974162519248,8.535855092390156,-23.031076812682603
