lemma,es,nl,en,zh
more,13.500452694890463,-6.126789804169057,-10.794982409069666,2.1852898785655563
but,-3.21974540007518,19.68664436076852,-6.291218330914919,-11.926223897329841
le,27.799462279658233,-10.644363474787445,-9.347792665453232,-6.359665418171847
all,19.69192223674212,-8.445512681186619,4.732604036424165,-18.165904746874343
very,16.1790355277032,-10.013611745617105,-1.4290581128993942,-7.624685245733743
about,-5.444263371266391,13.37564535144744,7.557749128976215,-15.524287293610666
also,-22.40236896068488,17.116828205499832,-25.470883987347435,27.714892612143565
life,3.752883389862588,-5.457918880113695,-0.32919929801755005,1.7587512868626096
year,3.260711844437609,0.3803978377101328,-3.835277293173937,0.06516443447521159
can,-7.258999245599726,18.017486724855097,8.701676521923007,-6.923350123809556
two,-2.591906113031563,-6.460680983585164,-6.4180886516652,13.547871754538097
well,-5.25332939430673,27.11988222989671,-5.326737252551968,-9.975881503059453
time,0.043758893165520514,-3.902037468803547,7.493807768384635,-4.128742521714669
each,8.25080648955726,-1.0444409587570498,-1.628947070923375,-6.646159369828516
world,6.530664601664835,-5.5263391264161985,-0.6087378532828179,-1.0091537344210801
one,-24.651159186681486,-24.998080889435144,-13.678630448296786,54.13782955394809
day,8.99390236370776,1.6819324801006772,2.9059816673861327,-14.261928965729068
always,4.6897719970906016,3.551952628759734,-2.1686458789231167,-6.610582319417742
same,17.144782341338118,-8.042243637810957,-2.329200776490391,-9.02603253212722
part,7.227773777565456,-0.6662639498582807,1.3050846520986736,-5.698069636275948
see,5.508158429024566,8.343137429773874,0.6040113159820852,-14.886220198567663
only,2.350113231241702,-2.3604541686654743,-5.450996071933865,5.115297373810997
though,4.716790942316733,-7.239751561737886,-0.02959195078884369,2.2353036394835333
less,6.920619361545246,2.5606283284818856,-6.19520569977909,-4.220715736442871
good,10.294598959520842,12.586977102034064,-1.469507243430052,-17.760915912910882
other,-0.7710436149672267,4.261471380318807,3.883270758399587,-7.884043301311921
today,1.497505383789806,1.5172280056933165,-4.178672249740212,1.0518941246808093
thing,3.685803878856528,-5.061013881212005,5.28690182785216,-4.50703876200904
form,8.588329352481892,-1.8395585199486215,-3.9778098105562716,-4.349659851999982
say,0.4085411760693293,-8.641939871884261,-7.075097332036698,13.948358477433505
before,-1.768856205621952,-9.815085286260176,-1.0983086272599942,11.512482816114312
moment,7.431534019979908,0.2593785264174273,-2.976521300479172,-5.749658606994291
counter,10.142460126780042,-3.601897086984539,-3.975461255395434,-4.141462873388323
house,5.974006108285071,2.842057817732575,-2.531552475211505,-6.991258938000362
power,7.414789816611432,-4.550175190934271,-1.030289835113738,-3.1114803254267223
place,-1.2154652893372813,-0.013179196556056984,0.6450795007255652,0.5628061610264561
never,3.746044383071787,0.6718067235818078,4.373272681293574,-8.636149876412357
state,2.1206496817709524,8.503325412520418,-2.9974012224288367,-7.961749334745577
new,-0.4150463840418869,6.352394756559783,1.798786269776932,-8.27828374207489
people,-14.657343948048874,-11.176619444125405,-9.930593368546392,29.51939247357027
many,-0.5549575765203641,16.797431883368095,-6.027871600625747,-12.354316897353163
who,-2.634940074487375,-2.8966931039002124,9.235896749405178,-4.587666439711637
work,-0.9824875845423156,4.503873783712319,2.3501341484172578,-6.21513433619387
here,-5.246589963134195,7.632247828184443,3.47210376169061,-6.850519215501355
country,7.593612595295199,0.394421238551917,-1.7137294574340967,-4.491434474213209
case,4.303299281176983,4.114944921360849,-2.4604479394561913,-6.385338291605357
love,-1.4198147107097787,-11.458801218939106,13.743986724838853,-2.4684704680286997
some,-5.677929967680644,-8.711134221238163,12.101971729272837,0.527785946759413
then,-15.59907360596078,22.30719816397311,-14.091975599950352,3.963410891490531
history,4.041493752113824,-4.441714286627252,-1.785140487008244,1.69407823639246
three,-2.9483290241367697,-3.8536407862782194,-4.3798292242951495,9.64900648519277
man,-1.3129549946661685,1.3500493225727639,1.5933729022993997,-1.717691045439687
truth,8.786607489832434,-5.832123016419318,-4.368454591456974,-0.08297406838256735
end,6.490002040682916,-3.1728548251716457,1.2291145980668425,-5.330111207267537
first,2.121225234000931,-1.4957958717022097,0.37851334319690566,-1.060099157962545
government,1.7113864972765604,-4.117818713972951,-4.155765599907716,5.724350744219214
past,3.8698158610952773,-5.663350724483352,-1.2163502185196529,2.646156058737023
still,-14.51160666119528,34.12724150225969,-10.908218234121799,-16.286543170014365
must,-6.6369517395333,20.76080769933491,-9.344398392805498,-9.780101006203834
type,6.2673636531771235,-2.252025225962615,-0.925967695634719,-4.1512675496816565
system,2.454792661180251,-3.940407478901207,-1.7180747375673284,2.802756275300301
side,4.281386669974858,1.1102858785796623,0.5281101970026897,-5.778923068914646
want,8.114214891548512,6.96555214578779,-0.1474923488649244,-14.311460622790644
city,1.006979043163406,-1.4488349930150468,-0.026180410463427208,0.4276270291606301
reality,4.836847832542563,-3.153490212829337,-2.5657123583883052,0.16655345508141575
outside,2.3359796427989314,1.5418616713522943,-3.367817562087715,-0.7303769966317709
night,2.7698478695487574,-2.702554965427326,1.250405067329978,-1.4671555171980968
name,0.39799536732355123,-0.8758369091653861,1.8268153279342687,-1.423911989927694
clear,6.833961403373078,0.8075390383421736,-2.687950501701013,-5.056664140283173
final,8.410778874267365,-4.171030188780588,-0.9616723398823912,-4.86352716957093
earth,3.3381453754426254,-1.818273826270067,-0.9502186621294745,-0.9189255730049783
large,2.244983381117829,11.465831150926663,-6.442906906077261,-7.927226546099766
example,4.277998071068939,-0.5924220747594688,-0.9143564858855073,-3.3186719782672993
bad,11.922680459459583,-4.376845009996782,-0.5913373804443224,-8.67537960815577
