lemma,es,nl,en,zh
eat,-40.17954156713708,14.514303880787908,-36.55424002591813,-17.39833635101952
money,-45.90545911936502,-5.481837728563748,-28.339564168051485,-51.30360992759241
beautiful,-25.72552647551179,11.288967067498012,-26.913228994792394,-13.333528285751862
pain,-8.344390707472034,2.3560086694381757,-32.1869259684124,-48.831140366683115
warm,-28.39128482095094,11.820780337037288,-12.090289184416102,-17.621357011992462
people,-25.17827237742477,-26.052948358692433,-24.65415642512638,4.8775066772745275
food,-7.7143340601379835,-46.472386507551825,4.146086669048942,-22.79989577968145
experiment,-13.720037378868813,-11.911954216436085,-14.160430635615741,15.601959957189777
sea,-11.558989712643832,4.365791201119821,-28.120933883921154,-30.58840459997108
vacation,-6.521259019390922,13.091596058883882,-12.841280868484604,-20.484300987181292
clothe,-17.075540321241128,-2.2098121645050224,-16.87122363067831,13.69604291509371
school,-24.543740511439456,4.245937460745624,-10.901504918534474,-28.718598653598676
large,0.21948246979133168,5.966464292267785,-16.790885445727323,-35.09644969294537
fun,-14.866782895052184,5.4002344193577,-5.418837046797071,-31.08541021012266
sun,-13.274321436786488,2.6863392521897893,-23.093871586194606,-20.153752437306494
sad,-6.450982404501821,-23.96047208559781,7.783941641512498,-10.678327095586397
color,7.170016273363963,-9.034846728444883,-3.772129974781765,-27.25460054879148
silver,11.540187653099695,-9.42028848819705,-7.129904678572877,-10.243803705282621
joy,8.778616589744505,-17.22260475074709,-13.423562535462382,-3.9799530855175616
sadness,9.652285970075901,-19.654877962924065,-8.460062378121593,-3.3730757551658077
animal,-3.154749703030862,-22.191186762348334,-30.3035338189077,-17.2855663945685
dangerous,-6.068436819792133,12.021567282576974,-3.7290191260096934,-13.462769441689757
journey,10.855396080347951,-0.5414580981290675,-10.242455339096646,-11.394796282294251
love,-6.120089480888608,-25.48325751068766,-15.700657105735573,-31.83501025463085
heat,5.359615555913147,-8.074495041152138,-19.27418650716381,-10.970668747790151
thick,-6.503582430955283,12.144999489229182,-5.102865016966677,-5.678407892695767
big,-16.61773423903189,-16.142642311024304,5.914723987945695,8.849819905223567
physical,-0.6350925717529657,-9.604337461391063,-7.744043715311211,11.670484556944245
dark,-7.574466694174458,5.7979365957675935,-2.3619666966295405,-25.400484267058786
national,-2.723698338250326,-6.530288027727889,-4.817344726429597,12.843135691569268
force,12.281692090295047,-7.266611557516015,-0.9546741844736367,-6.995140708816218
clothing,8.177567258541005,-1.0270711970479236,-10.840803544117485,-14.84347066986758
sport,-0.46641336318741294,6.056749822309377,-12.753930044322857,-19.60941684808645
water,-30.158596654647724,-16.937354247747884,-31.100159310026505,-40.347582458688194
hospital,-17.115345973265427,-4.20619687703803,-14.948358169185973,4.391672521952759
church,-6.676399498297647,5.163668280800526,-5.972832453860713,-20.771922498543983
war,-28.305539668499133,-2.380395437763263,-16.831042233636285,-10.719187466999417
field,9.372549170935018,-7.463783550971505,-1.0900876721225956,-11.075999083281465
many,2.4239025583026512,7.680494011474678,-9.729017244798804,-17.17295918299149
life,-2.4046689404701493,-25.768883667796196,-20.936296019537725,-8.02578947127355
fast,8.294662297792009,-14.476322776763684,2.569012742403037,-10.62629737429743
around,-4.1194407108712925,12.429655507096165,-1.2733607460693241,-4.6076714034363775
party,-5.336958544183086,-4.684578428870641,10.993881897230274,-3.849482992036951
movement,-1.5560612093417256,-10.5400641989082,-10.562741754854757,7.967722721909374
game,-7.524880656693244,-26.0295409398405,-15.307250453568566,-1.0349510747939488
phone,-8.92416624184101,-3.745771118731615,-6.657652182179607,8.723435645595098
slim,-3.14026769189494,12.759431707121543,-1.799470193562394,-2.261387419010348
shop,-5.6244140300857035,10.828217182752512,0.2177966603923371,-7.518868737765229
car,-24.953309254432607,-9.133487466793039,-5.069693383947167,-26.334562827734636
music,-15.773508333171495,-12.328746723639897,-23.95927721607962,-42.20084081522324
female,-10.00973139061808,-3.6434860902520065,-0.1787677062015503,10.092815701347117
bird,-7.291405917302911,-10.112513894775706,5.841104330583072,-8.940068467381641
disease,2.978996171697223,-4.287716862226699,-17.139599650045266,-13.422122770744668
small,-12.256939847913614,2.7578840565037797,-3.250567684763339,-19.668094631721797
