meat pie/meat pies,food,en
pavlova/pavlovas,food,en
vegemite on toast/vegemite on toasts,food,en
poutine/poutines,food,en
kraft dinner/kraft dinners,food,en
nanaimo bar,food,en
butter tart/butter tarts,food,en
soused herring with onion and pickles/soused herrings with onion and pickles,food,nl
tortilla de patatas/tortilla de patatases,food,es
pa amb tomaquet,food,es
polbo á feira,food,es
paella/paellas,food,es
taco/tacos,food,es
mole poblano/mole poblanos,food,es
chiles en nogada/chiles en nogadas,food,es
es teler/es telers,drink,id
teh tarik/teh tariks,drink,ms
caipirinha/caipirinhas,liquor,pt
guaraná/guaranás,drink,pt
port wine,liquor,pt
red wine/red wines,liquor,fr
champagne/champagnes,liquor,fr
caesar/caesars,liquor,en
coffee/coffees,drink,en
tea/teas,drink,en
gin/gins,liquor,en
scotch/scotches,liquor,en
perry/perries,liquor,en
lemon lime and bitters,liquor,en
lemonade/lemonades,liquor,en
sangria/sangrias,liquor,es
pencak silat,sport,id
sepak takraw,sport,ms
lacrosse,sport,en
ice hockey,sport,en
cricket,sport,en
baseball,sport,en
rugby,sport,en
golf,sport,en
komodo dragon/komodo dragons,animal,id
javan hawk-eagle/javan hawk-eagles,animal,id
asian arowana/asian arowanas,animal,id
malayan tiger/malayan tigers,animal,ms
rufous-bellied thrush/rufous-bellied thrushes,animal,pt
gallic rooster/gallic roosters,animal,fr
north american beaver/north american beavers,animal,en
canadian horse/canadian horses,animal,en
bulldog/bulldogs,animal,en
lion/lions/lioness/lionesses,animal,en/nl
red kite/red kites,animal,en
red kangaroo/red kangaroos,animal,en
black-tailed godwit/black-tailed godwits,animal,nl
golden eagle/golden eagles,animal,es
xoloitzcuintli/xoloitzcuintlis,animal,es
chapulin/chapulins,animal,es
ocelot/ocelots,animal,es
axolotl/axolotls,animal,es
protestantism/protestant/protestants,religion,id/nl
buddhism/buddhist/buddhists,religion,id
hinduism/hindu/hindus,religion,id
confucianism/confucian/confucians,religion,id
judaism,religion,fr/nl
lutheranism/lutheran/lutherans,religion,fr
calvinist/calvinists/calvinism,religion,fr/en
christian/christians/christianity,religion,en
reformed/reformists/reformist,religion,nl
beijing,city,zh
chongqing,city,zh
shanghai,city,zh
tianjin,city,zh
moscow,city,ru
saint petersburg,city,ru
peking duck,food,zh
luosifen,food,zh
crayfish,food,zh
hot pot,food,zh
dumpling,food,zh
malaxiangguo,food,zh
dimsum,food,zh
kaolengmian,food,zh
tanghulu,food,zh
tea,drink,zh
baijiu,liquor,zh
hong kong style milk tea,drink,zh
bubble tea,drink,zh
borscht,food,ru
shchi,food,ru
kasha,food,ru
pelmeni,food,ru
pirozhki,food,ru
bliny,food,ru
oladyi,food,ru
sour cabbage,food,ru
bublik,food,ru
baranki,food,ru
karavai,food,ru
vareniki,food,ru
rassolnik,food,ru
pryanik,food,ru
kvass,drink,ru
vodka,liquor,ru
eurasian brown bear,animal,ru
double-headed eagle,animal,ru
dragon,animal,zh
panda,animal,zh
red-crowned crane,animal,zh
singapore,country,zh
taiwan,country,zh
china,country,zh
abkhazia,country,ru
artsakh,country,ru
belarus,country,ru
czech republic,country,ru
estonia,country,ru
israel,country,ru
kazakhstan,country,ru
kyrgyzstan,country,ru
latvia,country,ru
lithuania,country,ru
moldova,country,ru
poland,country,ru
russia,country,ru
dongzhi festival/winter solstice,festivity,zh
duanwu festival/dragon boat festival,festivity,zh
mid-autumn festival,festivity,zh
lunar new year,festivity,zh
qingming jie/ching ming festival/tomb sweeping day,festivity,zh
people's day,festivity,zh
buddhism,religion,zh
confucianism,religion,zh
taoism,religion,zh
russian orthodoxy,religion,ru
table tennis/ping pong,sport,zh
bandy,sport,ru
